Permit Number,Legal Name,Also doing business as,Status,Main Location
1003115,0711816 B.C. Ltd.,,Cancelled – Not Renewed by Registrant,"Delta, BC, Canada"
1004225,0756654 BC LTD.,Taurus Construction,Cancelled – Not Renewed by Registrant,"Rossland, BC, Canada"
1002671,0772308 BC LTD,Out Of The Box Engineering,Current - Practising,"Agassiz, BC, Canada"
1004719,0777061 B.C. Ltd.,"Western Integrated Systems Ltd.
Western Integrated Electrical Ltd.",Current - Practising,"Burnaby, BC, Canada"
1002496,0803442 BC LTD,,Current - Practising,"Madeira Park, BC, Canada"
1004143,0824655 BC Ltd,,Cancelled – Permit to Practice Requirements Not Met,"Nanaimo, BC, Canada"
1002785,0844408BCLTD,Riverside Energy Systems,Current - Practising,"Kamloops, BC, Canada"
1003462,0856005 BC LTD.,"STEWART WELDING CONSULTING
STEWART WELDING CONSULTING LTD",Current - Practising,"DELTA, BC, Canada"
1000700,0906670 B.C. Ltd.,Rocky Point Engineering Ltd.,Current - Practising,"Langley, BC, Canada"
1002980,0907064 B.C. Ltd.,,Cancelled – Not Renewed by Registrant,"Victoria, BC, Canada"
1002132,0907587 B.C. LTD,,Cancelled – Not Renewed by Registrant,"Kelowna, BC, Canada"
1000579,0924344 BC Ltd,Nendick Consultants,Current - Practising,"West Vancouver, BC, Canada"
1003112,0953981 BC Ltd,"Hall Environmental
LH Equestrian Management",Current - Practising,"Ladysmith, BC, Canada"
1000382,0983914 B.C. Ltd.,,Cancelled – Not Renewed by Registrant,"Trail, BC, Canada"
1002583,0992059 B.C. LTD.,"Roger T. S. Wong, P. Eng.",Current - Practising,"Vancouver, BC, Canada"
1003911,1001874 Alberta Ltd.,Life Cycle Design,Cancelled – Not Renewed by Registrant,"Edmonton, AB, Canada"
1000808,1017587 BC LTD,,Current - Practising,"Coquitlam, BC, Canada"
1004056,1033116 BC Ltd.,,Current - Practising,"Kelowna, BC, Canada"
1002547,1063891 BC Ltd.,SPARQ Industries,Current - Practising,"Salmon Arm, BC, Canada"
1001682,1069244 B.C. Ltd.,,Current - Practising,"Nanaimo, BC, Canada"
1001072,1080821 B.C. LTD.,,Cancelled – Permit to Practice Requirements Not Met,"Victoria, BC, Canada"
1003322,1082875 Ontario Inc.,C-Intech,Current - Practising,"Markham, ON, Canada"
1001944,1087242 BC Ltd. dba James Dobney Inspections,,Current - Practising,"Port Coquitlam, BC, Canada"
1002012,1093216 B.C. Ltd.,"Boca Engineering Co.
Spar Consultants",Current - Practising,"Victoria, BC, Canada"
1005064,1104175 Alberta Limited,ESE-LSS Life Safety Systems Technologies,Current - Practising,"Edmonton, AB, Canada"
1003939,1104229 B.C. LTD.,HVACICI,Current - Practising,"North Vancouver, BC, Canada"
1003785,1131827 BC Ltd,"Chris Cole, PEng",Current - Practising,"Nanoose Bay, BC, Canada"
1002492,1145001 B.C. LTD,,Cancelled – Not Renewed by Registrant,"Vancouver, BC, Canada"
1004870,1145518BC Ltd,,Current - Practising,"Mission, BC, Canada"
1004654,11501011 Canada Inc.,CMP engineering,Current - Practising,"Whitehorse, YT, Canada"
1004168,11575490 Canada Inc.,,Cancelled – Not Renewed by Registrant,"Ottawa, ON, Canada"
1004363,1164790 B.C. LTD.,,Current - Practising,"Vancouver, BC, Canada"
1003029,1167354B.C. Ltd.,,Cancelled – Permit to Practice Requirements Not Met,"Delta, BC, Canada"
1001822,1169417 Ontario Inc.,,Current - Practising,"Aurora, ON, Canada"
1000130,1191027 BC Ltd.,Infinity Solutions,Current - Practising,"Kimberley, BC, Canada"
1002978,1194350 BC LTD.,,Current - Practising,"Victoria, BC, Canada"
1002382,11944720 Canada Limited,,Current - Practising,"Grimsby, ON, Canada"
1005085,1198278 B.C. LTD.,,Current - Practising,"White Rock, BC, Canada"
1001694,1198643 B.C. LTD,,Current - Practising,"Burnaby, BC, Canada"
1004246,12079925 CANADA INC,NOVA Consulting,Cancelled – Not Renewed by Registrant,"Dartmouth, NS, Canada"
1000948,1209955 BC Ltd,Hi-Cube Storage Products,Current - Practising,"Delta, BC, Canada"
1000402,1211125 BC Ltd.,Smith Engineering Company,Cancelled – Not Renewed by Registrant,"Gibsons, BC, Canada"
1004948,1216471 BC LTD,Amix Systems,Current - Practising,"Kamloops, BC, Canada"
1004551,1219146 Alberta Ltd.,Adelantar Consulting,Current - Practising,"Edmonton, AB, Canada"
1001675,1229050 BC Ltd,,Current - Practising,"Vernon, BC, Canada"
1004376,1229392 B.C. Ltd.,,Cancelled – Not Renewed by Registrant,"Revelstoke, BC, Canada"
